Re,Criteria,Airfoil,Alpha,Value,Details
0.001,Max CL,S1223,20.0,1.0363,CD=0.3619
0.001,Max CL/CD,S1223,15.0,3.032580577501224,CL=0.8675
0.001,Min Cpmin,RG 14 AIRFOIL,18.5,-1.9884,-
0.001,Optimized #1,S1223,20.0,0.904869323679699,"CL=1.04, L/D=2.9, Cp=-1.32"
0.001,Optimized #2,S1223,19.5,0.9032969602622011,"CL=1.02, L/D=2.9, Cp=-1.30"
0.001,Optimized #3,S1223,19.0,0.901262625328077,"CL=1.01, L/D=2.9, Cp=-1.27"
0.001,Optimized #4,S1223,18.5,0.8989827173305307,"CL=0.99, L/D=2.9, Cp=-1.25"
0.001,Optimized #5,S1223,18.0,0.8959900401506712,"CL=0.98, L/D=3.0, Cp=-1.23"
0.001,Optimized #6,S1223,17.5,0.8920721127222186,"CL=0.96, L/D=3.0, Cp=-1.21"
0.001,Optimized #7,NACA 4412,20.0,0.8903914946108057,"CL=0.91, L/D=2.7, Cp=-1.88"
0.001,Optimized #8,S1223,17.0,0.8871541050182976,"CL=0.94, L/D=3.0, Cp=-1.18"
0.001,Optimized #9,NACA 4412,19.5,0.8852544713786936,"CL=0.89, L/D=2.7, Cp=-1.85"
0.001,Optimized #10,franky 2,19.5,0.885237630469005,"CL=0.97, L/D=2.8, Cp=-1.44"
0.002,Max CL,S1223,20.0,1.1407,CD=0.3361
0.002,Max CL/CD,AG14,5.5,5.635054561817977,CL=0.5009
0.002,Min Cpmin,AG14,20.0,-2.1838,-
0.002,Optimized #1,AG14,20.0,0.7770750291944657,"CL=1.01, L/D=3.5, Cp=-2.18"
0.002,Optimized #2,AG14,19.5,0.7728299992929035,"CL=0.99, L/D=3.5, Cp=-2.17"
0.002,Optimized #3,AG14,19.0,0.7706230237920865,"CL=0.97, L/D=3.6, Cp=-2.17"
0.002,Optimized #4,AG14,18.5,0.7680853179358801,"CL=0.95, L/D=3.6, Cp=-2.17"
0.002,Optimized #5,AG14,18.0,0.7652760704948145,"CL=0.93, L/D=3.6, Cp=-2.16"
0.002,Optimized #6,AG14,17.5,0.7621717087058885,"CL=0.91, L/D=3.7, Cp=-2.15"
0.002,Optimized #7,AG14,17.0,0.7588552881908104,"CL=0.89, L/D=3.7, Cp=-2.14"
0.002,Optimized #8,AG14,16.5,0.7553359436596192,"CL=0.87, L/D=3.7, Cp=-2.12"
0.002,Optimized #9,AG14,16.0,0.751537418318948,"CL=0.85, L/D=3.8, Cp=-2.10"
0.002,Optimized #10,AG14,15.5,0.7475834907578282,"CL=0.84, L/D=3.8, Cp=-2.07"
0.021,Max CL,AG14,29.1,1.3861,CD=0.4091
0.021,Max CL/CD,AG14,4.8,17.032115171650055,CL=0.7690
0.021,Min Cpmin,AG14,6.7,-2.4646,-
0.021,Optimized #1,AG14,5.4,0.8218264867904407,"CL=0.83, L/D=16.5, Cp=-1.97"
0.021,Optimized #2,AG14,5.5,0.8175409617047241,"CL=0.83, L/D=16.2, Cp=-2.01"
0.021,Optimized #3,AG14,5.1,0.8151175459305506,"CL=0.80, L/D=16.9, Cp=-1.79"
0.021,Optimized #4,AG14,5.6,0.8147825998575355,"CL=0.84, L/D=15.9, Cp=-2.06"
0.021,Optimized #5,AG14,5.3,0.8142467398199112,"CL=0.81, L/D=16.5, Cp=-1.90"
0.021,Optimized #6,AG14,5.2,0.812072073271523,"CL=0.81, L/D=16.6, Cp=-1.84"
0.021,Optimized #7,AG14,5.7,0.8119915349172945,"CL=0.84, L/D=15.6, Cp=-2.10"
0.021,Optimized #8,AG14,5.8,0.8087418281722322,"CL=0.85, L/D=15.4, Cp=-2.14"
0.021,Optimized #9,AG14,5.9,0.8062620227718256,"CL=0.86, L/D=15.1, Cp=-2.19"
0.021,Optimized #10,AG14,5.0,0.8042822486557607,"CL=0.79, L/D=16.8, Cp=-1.72"
